name,number_living
Aarilynn,14.91685
Aarin,1121.07192
Aarini,111.38948
Aarion,652.30202
Aariona,246.25471
Aarionna,146.01847
Aaris,144.12568
Aarish,293.14754
Aarit,140.08596
Aariv,675.37145
Aariya,193.97342999999998
Aariyah,729.08844
Aariyan,13.907250000000001
Aariyana,96.40769
Aariyanna,13.907600000000002
Aariyona,4.968
Aariyonna,4.9663
Aariz,953.2046300000001
Aarjav,32.76683
Aarn,16.40331
Aarna,2332.16144
Aarnav,533.28398
Aarnavi,65.63344
Aarne,0.3882499999999999
Aarnik,42.84856
Aarnika,39.82958
Aaro,127.26145
Aaroh,9.9653
Aarohan,23.83746
Aarohi,825.6296699999999
Aarolyn,10.93701
Aaron,571650.5558
Aarona,4.83965
Aaronae,4.9704
Aaronda,4.899
Aaronette,10.64049
Aaronisha,5.95068
Aaronjacob,4.9384
Aaronjames,98.59506999999999
Aaronjohn,20.78838
Aaronjoseph,6.92685
Aaronjosh,4.95465
Aaronjoshua,9.8818
Aaronlee,4.81005
Aaronmichael,73.61582
Aaronn,21.57613
Aaroosh,5.95458
Aarren,4.9015
Aarron,1206.69849
Aarsh,91.39525
Aarshi,42.7896
Aarshiv,8.0
Aarshiya,4.9692
Aarthi,103.06487
Aarti,430.76913
Aaruhi,60.721360000000004
Aarunya,19.896160000000002
Aarush,2754.46434
Aarushi,798.09456
Aarushreddy,16.892780000000002
Aarvi,343.36033
Aarvik,49.73201
Aarvika,24.91518
Aarvin,32.85059
Aary,4.9671
Aarya,2993.71159
Aaryah,94.51996
Aaryahi,55.69977
Aaryan,1905.08064
Aaryana,147.08966
Aaryanna,205.55554999999998
Aaryanreddy,6.0
Aaryansh,23.88691
Aaryash,23.85092
Aaryav,229.60745
Aaryiah,4.97635
Aaryn,2101.81162
Aarynn,4.97205
Aaryon,14.88915
Aaryona,9.93505
Aarza,27.895719999999997
Aarzu,5.0
Aaseem,4.96645
Aaser,11.918330000000001
Aasha,351.31320999999997
Aashana,4.96245
Aashay,42.68619
Aasher,4.96875
Aashi,661.12357
Aashia,5.95956
Aashika,111.38819
Aashini,4.97005
Aashir,168.82527
Aashirya,47.73373
Aashish,134.50594
Aashita,5.961600000000001
Aashiyana,11.92542
Aashka,162.92833
Aashman,4.964799999999999
Aashna,673.57963
Aashni,51.68285
Aashray,13.90333
Aashrit,5.964
Aashrita,62.63578
Aashrith,167.87254000000001
Aashritha,177.00913
Aashriya,23.8984
Aashvi,731.72087
Aashvik,12.95625
Aashvireddy,5.0
Aasia,223.34341
Aasiah,11.95485
Aasim,491.39028
Aasin,51.13454
Aasir,318.23526000000004
Aasiya,245.55767
Aasiyah,567.55445
Aason,91.47494
Aastha,264.22433
Aathan,4.9644
Aathira,15.9487
Aathiran,14.94942
Aatif,9.872499999999999
Aatikah,4.9739
Aatish,15.872589999999999
Aava,160.15658
Aavah,64.6371
Aavan,42.80802
Aavani,5.96868
Aavash,29.846049999999998
Aaven,55.65114
Aavi,26.82265
Aavin,34.75797
Aavion,41.78118
Aavir,54.72896
Aavish,10.92697
Aavni,5.97162
Aavya,618.3223
Aavyaan,5.0
Aavyan,83.7251
Aavyn,10.92876
Aaya,57.62086
Aayaan,61.57602
Aayah,58.66296
Aayam,54.68837
Aayan,2259.66489
Aayana,147.09385
Aayanah,9.9383
Aayanna,37.73404
Aayansh,403.77937000000003
Aayara,4.97635
Aayat,368.39281
Aayce,6.0
Aaydan,10.92313
Aayden,1668.41165
Aayla,682.55071
Aaylah,117.39464
Aayliah,90.42994
Aayon,9.937100000000001
Aayra,206.07878
Aayu,11.92176
Aayush,1394.32212
Aayusha,10.937069999999999
Aayushi,248.42983
Aazan,4.9644
Aazeen,11.934529999999999
Aazil,10.95974
Aazim,28.79918
Aazir,20.906660000000002
Aaziyah,38.78171
Ab,312.00501
Aba,31.56411
Abaan,55.64972
Abaas,5.95974
Ababacar,5.0
Abad,86.02849
Abaddon,12.952
Abagael,208.13947
Abagail,5783.20162
Abagaile,14.8791
Abagale,371.20044
Abagayle,343.45454
Abaigael,18.87549
Abaigail,9.9373
Abaigeal,327.38524
Aban,38.73652
Abanoub,181.18059
Abas,99.25754
Abasi,38.39386
Abass,103.16871
Abayomi,214.48479
Abb,13.61071
Abba,64.60501000000001
Abbaas,4.94775
Abbagail,864.3619
Abbagale,138.04223
Abbagayle,111.19997
Abbas,1610.05079
Abbe,1263.68689
Abbee,161.68110000000001
Abbegail,244.00168
Abbegale,81.37489
Abbegayle,72.44092
Abbey,17221.08601
Abbeygail,65.54555
Abbeygale,21.85241
Abbi,2036.86026
Abbie,16485.61185
Abbiegail,247.31716
Abbiegale,57.6153
Abbiegayle,17.891260000000003
Abbigael,160.77191
Abbigail,11927.9824
Abbigaile,90.37143
Abbigal,156.90544
Abbigale,2157.73783
Abbigayl,28.79882
Abbigayle,1314.03655
Abbilyn,11.926929999999999
Abbot,26.89208
Abbott,919.17216
Abbra,35.29706
Abbrianna,4.9639
Abbriella,30.819789999999998
Abbrielle,82.37976
Abby,59266.45449
Abbye,181.60474
Abbygael,69.52942
Abbygail,3550.86327
Abbygaile,46.69413
Abbygale,808.4325699999999
Abbygayl,5.96238
Abbygayle,447.81804999999997
Abbylynn,17.89266
Abcde,404.28665
Abd,16.79955
Abdala,5.95116
Abdalah,5.95314
Abdalla,355.17167
Abdallah,1484.78708
Abdalrahman,204.32441
Abdalrhman,4.9644
Abdel,758.51168
Abdelaziz,109.94613
Abdelhadi,4.9593
Abdelhamid,4.96645
Abdelkader,4.9671
Abdelkareem,14.866800000000001
Abdelkarim,31.67142
Abdellah,23.80734
Abdelrahman,619.71392
Abdelrhman,5.95626
Abderrahman,4.9644
Abdi,322.45644
Abdia,4.97205
Abdias,788.01989
Abdiasis,5.95458
Abdiaziz,189.64363
Abdiel,6411.47703
Abdifatah,261.98087
Abdihafid,37.75582
Abdihakim,64.55102
Abdihamid,9.915500000000002
Abdikadir,183.73429000000002
Abdikarim,32.7316
Abdikhaliq,4.964
Abdilahi,9.92795
Abdimalik,258.16496
Abdinajib,4.964799999999999
Abdinasir,201.49571
Abdiqani,26.803910000000002
Abdirahim,110.2651
Abdirahin,5.95902
Abdirahman,2024.45229
Abdirashid,39.669799999999995
Abdirisaq,11.914560000000002
Abdirizak,98.24915
Abdirizaq,4.9677500000000006
Abdisalam,4.95465
Abdisalan,10.92024
Abdisamad,27.80747
Abdishakur,68.5055
Abdiwahab,18.86018
Abdiwali,4.964
Abdo,87.01414
Abdon,307.60982
Abdou,270.58974
Abdoul,524.47035
Abdoulaye,824.13964
Abdoulaziz,9.92615
