Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1910,0.120059,0.027288,0.014073,0.009756,0.007792,0.005810,0.004259,0.003142,0.002447,0.002129,0.002105,0.002263,0.002475,0.002652,0.002817,0.003061,0.003420,0.003828,0.004272,0.004732,0.005243,0.005736,0.006086,0.006236,0.006246,0.006203,0.006207,0.006291,0.006500,0.006801,0.007133,0.007442,0.007729,0.007978,0.008205,0.008438,0.008706,0.009016,0.009380,0.009790,0.010227,0.010677,0.011146,0.011629,0.012130,0.012702,0.013311,0.013864,0.014333,0.014777,0.015238,0.015843,0.016707,0.017906,0.019377,0.021031,0.022744,0.024463,0.026133,0.027814,0.029678,0.031765,0.033970,0.036291,0.038793,0.041512,0.044568,0.048082,0.052134,0.056677,0.061734,0.067139,0.072694,0.078311,0.084162,0.090269,0.097059,0.105021,0.114400,0.124863,0.136271,0.147852,0.158849,0.168867,0.178468,0.188504,0.199675,0.212384,0.226718,0.242478,0.259383,0.277114,0.295355,0.313828,0.332279,0.351231,0.370646,0.390482,0.410693,0.431228,0.452790,0.475429,0.499200,0.524161,0.550369,0.577887,0.606781,0.637120,0.668976,0.702425,0.737546,0.774424,0.813145,0.853802,0.896492,0.941317,0.988383,1.000000,1.000000,1.000000
1911,0.104562,0.022844,0.011820,0.008211,0.006562,0.004994,0.003769,0.002884,0.002328,0.002066,0.002039,0.002165,0.002352,0.002537,0.002732,0.002995,0.003347,0.003741,0.004164,0.004599,0.005081,0.005545,0.005873,0.006012,0.006019,0.005977,0.005981,0.006064,0.006270,0.006568,0.006893,0.007198,0.007497,0.007775,0.008044,0.008325,0.008631,0.008957,0.009305,0.009676,0.010070,0.010483,0.010908,0.011343,0.011794,0.012306,0.012863,0.013406,0.013919,0.014445,0.015000,0.015679,0.016583,0.017774,0.019196,0.020801,0.022467,0.024100,0.025640,0.027165,0.028859,0.030799,0.032915,0.035227,0.037781,0.040538,0.043623,0.047241,0.051487,0.056269,0.061635,0.067278,0.072808,0.078045,0.083282,0.088616,0.094742,0.102390,0.111941,0.122888,0.134901,0.146886,0.157883,0.167349,0.176018,0.185014,0.195263,0.207302,0.221243,0.236822,0.253664,0.271344,0.289444,0.307599,0.325481,0.343872,0.362743,0.382060,0.401785,0.421874,0.442967,0.465116,0.488372,0.512790,0.538430,0.565351,0.593619,0.623300,0.654465,0.687188,0.721547,0.757625,0.795506,0.835281,0.877045,0.920897,0.966942,1.000000,1.000000,1.000000
1912,0.102415,0.021297,0.011035,0.007673,0.006134,0.004684,0.003546,0.002716,0.002182,0.001913,0.001859,0.001952,0.002116,0.002299,0.002505,0.002780,0.003135,0.003532,0.003957,0.004393,0.004873,0.005335,0.005670,0.005828,0.005859,0.005847,0.005873,0.005956,0.006130,0.006374,0.006640,0.006896,0.007153,0.007405,0.007659,0.007921,0.008213,0.008556,0.008965,0.009423,0.009932,0.010447,0.010913,0.011302,0.011652,0.012030,0.012489,0.013027,0.013666,0.014409,0.015207,0.016088,0.017138,0.018387,0.019800,0.021390,0.023044,0.024615,0.026031,0.027395,0.028883,0.030637,0.032667,0.035034,0.037738,0.040715,0.043974,0.047601,0.051623,0.056036,0.060910,0.066156,0.071622,0.077252,0.083171,0.089336,0.096095,0.103897,0.112946,0.122945,0.133834,0.144870,0.155252,0.164583,0.173439,0.182694,0.193069,0.204986,0.218544,0.233553,0.249737,0.266778,0.284360,0.302207,0.320063,0.338393,0.357157,0.376313,0.395812,0.415603,0.436383,0.458202,0.481112,0.505168,0.530426,0.556947,0.584795,0.614035,0.644736,0.676973,0.710822,0.746363,0.783681,0.822865,0.864008,0.907209,0.952569,1.000000,1.000000,1.000000
1913,0.105760,0.023198,0.011999,0.008334,0.006660,0.005145,0.003950,0.003061,0.002464,0.002127,0.002007,0.002050,0.002193,0.002393,0.002643,0.002976,0.003383,0.003807,0.004225,0.004627,0.005065,0.005496,0.005813,0.005972,0.006018,0.006025,0.006064,0.006151,0.006317,0.006544,0.006791,0.007032,0.007281,0.007533,0.007796,0.008066,0.008364,0.008718,0.009143,0.009620,0.010151,0.010683,0.011152,0.011526,0.011846,0.012191,0.012619,0.013128,0.013743,0.014465,0.015234,0.016084,0.017124,0.018391,0.019835,0.021477,0.023164,0.024703,0.025998,0.027182,0.028472,0.030062,0.031986,0.034333,0.037082,0.040070,0.043329,0.047069,0.051353,0.056099,0.061428,0.067024,0.072412,0.077390,0.082286,0.087177,0.092867,0.100239,0.109743,0.120768,0.132927,0.144902,0.155531,0.164156,0.171657,0.179387,0.188468,0.199559,0.212805,0.227897,0.244387,0.261768,0.279539,0.297266,0.314557,0.332339,0.350584,0.369258,0.388324,0.407740,0.428127,0.449533,0.472010,0.495610,0.520391,0.546410,0.573731,0.602417,0.632538,0.664165,0.697373,0.732242,0.768854,0.807297,0.847662,0.890045,0.934547,0.981274,1.000000,1.000000
1914,0.099295,0.020073,0.010414,0.007247,0.005795,0.004539,0.003548,0.002816,0.002333,0.002073,0.001997,0.002053,0.002182,0.002342,0.002536,0.002789,0.003116,0.003489,0.003903,0.004335,0.004813,0.005272,0.005601,0.005750,0.005771,0.005746,0.005761,0.005839,0.006016,0.006268,0.006550,0.006818,0.007069,0.007289,0.007497,0.007695,0.007934,0.008270,0.008735,0.009289,0.009919,0.010528,0.011013,0.011317,0.011508,0.011698,0.011996,0.012432,0.013057,0.013846,0.014705,0.015624,0.016695,0.017937,0.019319,0.020887,0.022521,0.024033,0.025343,0.026571,0.027928,0.029580,0.031539,0.033878,0.036599,0.039499,0.042695,0.046530,0.051121,0.056296,0.062143,0.068133,0.073573,0.078142,0.082310,0.086341,0.091293,0.098172,0.107547,0.118699,0.131020,0.143063,0.153725,0.162315,0.169716,0.177294,0.186186,0.197050,0.210025,0.224785,0.240864,0.257736,0.274884,0.291859,0.308252,0.325186,0.342649,0.360627,0.379103,0.398058,0.417961,0.438859,0.460802,0.483842,0.508034,0.533436,0.560108,0.588113,0.617519,0.648395,0.680814,0.714855,0.750598,0.788128,0.827534,0.868911,0.912356,0.957974,1.000000,1.000000
1915,0.095652,0.018028,0.009377,0.006536,0.005229,0.004095,0.003205,0.002552,0.002127,0.001908,0.001857,0.001927,0.002063,0.002227,0.002421,0.002669,0.002984,0.003343,0.003740,0.004155,0.004614,0.005054,0.005370,0.005513,0.005534,0.005510,0.005527,0.005611,0.005801,0.006070,0.006369,0.006651,0.006912,0.007137,0.007344,0.007548,0.007791,0.008106,0.008515,0.008996,0.009530,0.010061,0.010538,0.010930,0.011274,0.011663,0.012130,0.012633,0.013180,0.013795,0.014418,0.015154,0.016202,0.017643,0.019371,0.021365,0.023343,0.024994,0.026153,0.027029,0.027973,0.029302,0.031077,0.033440,0.036342,0.039467,0.042868,0.046931,0.051759,0.057182,0.063310,0.069601,0.075320,0.080134,0.084529,0.088796,0.094017,0.101203,0.110931,0.122472,0.135212,0.147688,0.158784,0.167806,0.175652,0.183707,0.193119,0.204552,0.218140,0.233551,0.250310,0.267884,0.285751,0.303459,0.320598,0.338290,0.356519,0.375269,0.394519,0.414245,0.434957,0.456705,0.479540,0.503517,0.528693,0.555128,0.582884,0.612029,0.642630,0.674762,0.708500,0.743925,0.781121,0.820177,0.861186,0.904245,0.949457,0.996930,1.000000,1.000000
1916,0.097480,0.021493,0.011135,0.007741,0.006189,0.004698,0.003533,0.002691,0.002158,0.001902,0.001868,0.001983,0.002166,0.002356,0.002564,0.002840,0.003199,0.003591,0.004002,0.004418,0.004876,0.005319,0.005639,0.005787,0.005813,0.005794,0.005814,0.005906,0.006109,0.006395,0.006715,0.007017,0.007289,0.007512,0.007709,0.007895,0.008128,0.008457,0.008916,0.009468,0.010088,0.010693,0.011207,0.011586,0.011881,0.012210,0.012635,0.013120,0.013686,0.014351,0.015021,0.015801,0.016917,0.018454,0.020295,0.022430,0.024534,0.026232,0.027327,0.028070,0.028821,0.030000,0.031773,0.034342,0.037586,0.041157,0.044928,0.049100,0.053675,0.058613,0.064123,0.069948,0.075594,0.080875,0.086105,0.091374,0.097434,0.105088,0.114757,0.125883,0.138091,0.150201,0.161196,0.170496,0.178880,0.187546,0.197481,0.209261,0.223005,0.238433,0.255144,0.272686,0.290613,0.308540,0.326116,0.344239,0.362889,0.382045,0.401679,0.421763,0.442851,0.464994,0.488243,0.512655,0.538288,0.565203,0.593463,0.623136,0.654293,0.687007,0.721358,0.757425,0.795297,0.835062,0.876815,0.920655,0.966688,1.000000,1.000000,1.000000
1917,0.096891,0.020577,0.010670,0.007422,0.005935,0.004617,0.003584,0.002825,0.002327,0.002065,0.001996,0.002070,0.002229,0.002431,0.002673,0.002985,0.003367,0.003779,0.004207,0.004636,0.005108,0.005566,0.005898,0.006057,0.006093,0.006077,0.006103,0.006212,0.006449,0.006777,0.007149,0.007493,0.007777,0.007971,0.008110,0.008224,0.008396,0.008698,0.009176,0.009780,0.010466,0.011123,0.011663,0.012025,0.012275,0.012544,0.012921,0.013393,0.013994,0.014725,0.015483,0.016334,0.017460,0.018928,0.020644,0.022626,0.024608,0.026266,0.027433,0.028327,0.029259,0.030585,0.032451,0.035027,0.038216,0.041703,0.045405,0.049543,0.054135,0.059121,0.064745,0.070657,0.076226,0.081210,0.086018,0.090678,0.096248,0.103951,0.114390,0.126717,0.140351,0.153531,0.164759,0.173168,0.179889,0.186671,0.194969,0.205635,0.218854,0.234216,0.251133,0.268939,0.286985,0.304710,0.321609,0.339093,0.357158,0.375796,0.394996,0.414746,0.435483,0.457257,0.480120,0.504126,0.529332,0.555799,0.583589,0.612768,0.643406,0.675577,0.709356,0.744823,0.782065,0.821168,0.862226,0.905338,0.950604,0.998135,1.000000,1.000000
1918,0.102626,0.029604,0.015248,0.010561,0.008434,0.006659,0.005283,0.004260,0.003545,0.003112,0.002950,0.003059,0.003450,0.004112,0.004986,0.006043,0.007168,0.008226,0.009134,0.009929,0.010714,0.011549,0.012386,0.013231,0.014065,0.014836,0.015535,0.016196,0.016817,0.017367,0.017920,0.018346,0.018414,0.018024,0.017307,0.016439,0.015653,0.015064,0.014794,0.014768,0.014815,0.014826,0.014844,0.014844,0.014852,0.014944,0.015137,0.015375,0.015655,0.016008,0.016396,0.016923,0.017757,0.018972,0.020476,0.022246,0.024037,0.025578,0.026723,0.027659,0.028642,0.029992,0.031848,0.034364,0.037440,0.040797,0.044330,0.048188,0.052367,0.056835,0.061803,0.067030,0.072036,0.076644,0.081155,0.085643,0.090845,0.097565,0.106221,0.116266,0.127356,0.138300,0.148042,0.155983,0.162923,0.170099,0.178539,0.188853,0.201182,0.215252,0.230663,0.246956,0.263675,0.280423,0.296835,0.313702,0.330992,0.348670,0.366698,0.385033,0.404285,0.424499,0.445724,0.468010,0.491410,0.515981,0.541780,0.568869,0.597312,0.627178,0.658537,0.691464,0.726037,0.762339,0.800456,0.840479,0.882503,0.926628,0.972959,1.000000
1919,0.084670,0.017847,0.009285,0.006473,0.005179,0.004282,0.003577,0.003034,0.002629,0.002348,0.002194,0.002178,0.002320,0.002622,0.003046,0.003558,0.004089,0.004578,0.004979,0.005308,0.005648,0.005997,0.006271,0.006445,0.006550,0.006612,0.006688,0.006820,0.007039,0.007316,0.007614,0.007880,0.008087,0.008210,0.008275,0.008329,0.008412,0.008525,0.008684,0.008885,0.009113,0.009357,0.009619,0.009897,0.010200,0.010558,0.010971,0.011416,0.011890,0.012415,0.012980,0.013643,0.014485,0.015545,0.016783,0.018204,0.019683,0.021063,0.022270,0.023413,0.024648,0.026158,0.028025,0.030342,0.033058,0.036056,0.039259,0.042708,0.046389,0.050324,0.054673,0.059365,0.064184,0.069066,0.074161,0.079524,0.085490,0.092414,0.100491,0.109498,0.119273,0.129335,0.139282,0.148879,0.158446,0.168471,0.179357,0.191335,0.204449,0.218582,0.233567,0.249213,0.265329,0.281744,0.298299,0.315304,0.332726,0.350528,0.368668,0.387101,0.406456,0.426779,0.448118,0.470524,0.494050,0.518753,0.544690,0.571925,0.600521,0.630547,0.662075,0.695178,0.729937,0.766434,0.804756,0.844994,0.887243,0.931606,0.978186,1.000000
