name,sex,number_living
Aanshi,f,149.26224
Aanvi,f,447.8224
Aanya,f,3298.72936
Aanyah,f,77.47708
Aanyla,f,6.95912
Aapri,f,4.899
Aaqib,m,37.72459
Aaqil,m,63.60229
Aara,f,182.09271
Aarabella,f,21.8756
Aarabhi,f,16.9092
Aaradhana,f,76.58038
Aaradhy,m,4.96585
Aaradhya,f,805.82873
Aaraf,m,26.82472
Aaraiz,m,5.958360000000001
Aaral,f,10.968679999999999
Aaralyn,f,1303.16816
Aaralynn,f,294.24572
Aaran,m,237.8217
Aaransh,m,5.96628
Aaranya,f,9.95025
Aaraon,m,4.77785
Aaratrika,f,4.9704
Aarav,m,6973.7038
Aaravi,f,60.71868
Aaravreddy,m,10.93164
Aaraya,f,4.9716
Aaren,f,277.87415
Aaren,m,878.00477
Aareon,f,9.913499999999999
Aareon,m,32.716620000000006
Aareona,f,6.95751
Aari,f,29.87072
Aari,m,44.79542
Aaria,f,566.05914
Aariaani,f,11.97635
Aariah,f,348.08534
Aarian,f,63.60647
Aarian,m,167.89755
Aariana,f,468.00651
Aarianna,f,217.58889
Aarib,m,95.39424
Aaric,m,548.93819
Aarica,f,93.63275
Aarick,m,27.66242
Aarie,f,9.944
Aariel,f,221.23089
Aariella,f,4.97205
Aarielle,f,53.69343
Aarien,m,6.95219
Aarik,m,205.12911
Aarika,f,857.6362799999999
Aariketh,m,5.95902
Aarilyn,f,111.33469
Aarilynn,f,14.91685
Aarin,f,302.75531
Aarin,m,818.31661
Aarini,f,111.38948
Aarion,f,144.66667
Aarion,m,507.63535
Aariona,f,246.25471
Aarionna,f,146.01847
Aaris,f,67.63894
Aaris,m,76.48674
Aarish,m,293.14754
Aarit,m,140.08596
Aariv,m,675.37145
Aariya,f,193.97343
Aariyah,f,729.08844
Aariyan,m,13.907250000000001
Aariyana,f,96.40769
Aariyanna,f,13.907600000000002
Aariyona,f,4.968
Aariyonna,f,4.9663
Aariz,m,953.20463
Aarjav,m,32.76683
Aarn,m,16.40331
Aarna,f,2332.16144
Aarnav,m,533.28398
Aarnavi,f,65.63344
Aarne,m,0.38825
Aarnik,m,42.84856
Aarnika,f,39.82958
Aaro,m,127.26145
Aaroh,m,9.9653
Aarohan,m,23.83746
Aarohi,f,825.62967
Aarolyn,f,10.93701
Aaron,f,4200.81623
Aaron,m,567449.73957
Aarona,f,4.83965
Aaronae,f,4.9704
Aaronda,f,4.899
Aaronette,f,10.64049
Aaronisha,f,5.95068
Aaronjacob,m,4.9384
Aaronjames,m,98.59506999999999
Aaronjohn,m,20.78838
Aaronjoseph,m,6.92685
Aaronjosh,m,4.95465
Aaronjoshua,m,9.8818
Aaronlee,m,4.81005
Aaronmichael,m,73.61582
Aaronn,m,21.57613
Aaroosh,m,5.95458
Aarren,m,4.9014999999999995
Aarron,m,1206.69849
Aarsh,m,91.39525
Aarshi,f,42.7896
Aarshiv,m,8.0
Aarshiya,f,4.9692
Aarthi,f,103.06487
Aarti,f,430.76913
Aaruhi,f,60.72136
Aarunya,f,19.896160000000002
Aarush,m,2754.46434
Aarushi,f,798.09456
Aarushreddy,m,16.892780000000002
Aarvi,f,343.36033
Aarvik,m,49.73201
Aarvika,f,24.91518
Aarvin,m,32.85059
Aary,m,4.9671
Aarya,f,2631.40596
Aarya,m,362.30563
Aaryah,f,94.51996
Aaryahi,f,55.69977
Aaryan,f,5.9649600000000005
Aaryan,m,1899.1156799999999
Aaryana,f,147.08965999999998
Aaryanna,f,205.55554999999998
Aaryanreddy,m,6.0
Aaryansh,m,23.88691
Aaryash,m,23.85092
Aaryav,m,229.60745
Aaryiah,f,4.97635
